song,level,lyrics
Golden Slumbers,4,"Once, there was a way to get back homeward<br>Once, there was a way to get back home<br>Sleep, pretty darling, do not cry<br>And I will sing a lullaby<br><br>Golden slumbers fill your eyes<br>Smiles awake you when you rise<br>Sleep, pretty darling, do not cry<br>And I will sing a lullaby<br><br>Once, there was a way to get back homeward<br>Once, there was a way to get back home<br>Sleep, pretty darling, do not cry<br>And I will sing a lullaby"
Good Day Sunshine,4,"Good day sunshine, good day sunshine, good day sunshine<br><br>I need to laugh and when the sun is out<br>I've got something I can laugh about<br>I feel good in a special way<br>I'm in love and it's a sunny day<br><br>Good day sunshine, good day sunshine, good day sunshine<br><br>We take a walk, the sun is shining down<br>Burns my feet as they touch the ground<br><br>Good day sunshine, good day sunshine, good day sunshine<br><br>Then we'd lie beneath the shady tree<br>I love her and she's loving me<br>She feels good, she knows she's looking fine<br>I'm so proud to know that she is mine.<br><br>Good day sunshine, good day sunshine, good day sunshine<br>Good day sunshine, good day sunshine, good day sunshine<br>Good day sunshine, good day sunshine, good day sunshine<br>Good day..."
Good Morning Good Morning,4,"Good morning, good morning<br>Good morning, good morning<br>Good morning ah<br><br>Nothing to do to save his life call his wife in<br>Nothing to say but what a day how's your boy been<br>Nothing to do it's up to you<br>I've got nothing to say but it's OK<br><br>Good morning, good morning<br>Good morning ah<br><br>Going to work don't want to go feeling low down<br>Heading for home you start to roam then you're in town<br>Everybody knows there's nothing doing<br>Everything is closed it's like a ruin<br>Everyone you see is half asleep<br>And you're on your own you're in the street<br><br>After a while you start to smile now you feel cool<br>Then you decide to take a walk by the old school<br>Nothing is changed it's still the same<br>I've got nothing to say but it's OK<br><br>Good morning, good morning<br>Good morning ah<br><br>People running round it's five o'clock<br>Everywhere in town is getting dark<br>Everyone you see is full of life<br>It's time for tea and meet the wife<br><br>Somebody needs to know the time, glad that I'm here<br>Watching the skirts you start to flirt now you're in gear<br>Go to a show you hope she goes<br>I've got nothing to say but it's OK<br><br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good<br>Good morning, good morning, good"
Good Night,4,"Now it's time to say good night<br>Good night, sleep tight<br>Now the sun turns out his light<br>Good night, sleep tight<br>Dream sweet dreams for me (Dream sweet)<br>Dream sweet dreams for you<br><br>Close your eyes and I'll close mine<br>Good night, sleep tight<br>Now the moon begins to shine<br>Good night, sleep tight<br>Dream sweet dreams for me (Dream sweet)<br>Dream sweet dreams for you<br><br>Mmmmmm<br>Mmmmmm<br>Mmmmmmmmmm<br><br>Close your eyes and I'll close mine<br>Good night, sleep tight<br>Now the sun turns out his light<br>Good night, sleep tight<br>Dream sweet dreams for me (Dream sweet)<br>Dream sweet dreams for you<br><br>Good night, good night, everybody<br>Everybody everywhere<br>Good night"
Got To Get You Into My Life,3,"I was alone, I took a ride<br>I didn't know what I would find there<br>Another road where maybe I could see another kind of mind there<br><br>Ooh, then I suddenly see you<br>Ooh, did I tell you I need you<br>Every single day of my life<br><br>You didn't run, you didn't lie<br>You knew I wanted just to hold you<br>And had you gone you knew in time we'd meet again<br>For I had told you<br><br>Ooh, you were meant to be near me<br>Ooh, and I want you to hear me<br>Say we'll be together every day<br><br>Got to get you into my life<br><br>What can I do, what can I be<br>When I'm with you I want to stay there<br>If I'm true I'll never leave<br>And if I do I know the way there<br><br>Ooh, then I suddenly see you<br>Ooh, did I tell you I need you<br>Every single day of my life<br><br>Got to get you into my life<br>Got to get you into my life<br><br>I was alone, I took a ride<br>I didn't know what I would find there<br>Another road where maybe I could see another kind of mind there<br><br>Then suddenly I see you<br>Did I tell you I need you<br>Every single day?"
Happiness Is A Warm Gun,4,"She's not a girl who misses much<br>Do do do do do do do do, oh yeah<br>She's well acquainted with the touch of the velvet hand<br>Like a lizard on a window pane<br>The man in the crowd with the multicoloured mirrors<br>On his hobnail boots<br>Lying with his eyes while his hands are busy<br>Working overtime<br>A soap impression of his wife which he ate<br>And donated to the National Trust<br><br>Down<br>I need a fix 'cause I'm going down<br>Down to the bits that I left uptown<br>I need a fix 'cause I'm going down<br><br>Mother Superior jump the gun<br>Mother Superior jump the gun<br>Mother Superior jump the gun<br>Mother Superior jump the gun<br>Mother Superior jump the gun<br>Mother Superior jump the gun<br><br>Happiness is a warm gun (Happiness bang, bang, shoot, shoot)<br>Happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot)<br>When I hold you in my arms (Oo-oo oh yeah)<br>And I feel my finger on your trigger (Oo-oo oh yeah)<br>I know nobody can do me no harm (Oo-oo oh yeah)<br><br>Because happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot)<br>Happiness is a warm gun, yes it is (Happiness bang, bang, shoot, shoot)<br>Happiness is a warm, yes it is, gun (Happiness bang, bang, shoot, shoot)<br>Well, don't you know that happiness is a warm gun, mama? (Happiness is a warm gun, yeah)"
"Hello, Goodbye",1,"You say yes, I say no<br>You say stop and I say go go go, oh no<br>You say goodbye and I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br><br>I say high, you say low<br>You say why and I say I don't know, oh no<br>You say goodbye and I say hello<br>(Hello goodbye hello goodbye) Hello hello<br>(Hello goodbye) I don't know why you say goodbye, I say hello<br>(Hello goodbye hello goodbye) Hello hello<br>(Hello goodbye) I don't know why you say goodbye<br>(Hello goodbye) I say hello/goodbye<br><br>Why why why why why why do you say goodbye goodbye, oh no?<br><br>You say goodbye and I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br><br>You say yes (I say yes) I say no (But I may mean no)<br>You say stop (I can stay) and I say go go go (Till it's time to go), oh<br>Oh no<br>You say goodbye and I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello<br>Hello hello<br>I don't know why you say goodbye, I say hello hello<br><br>Hela heba helloa<br>Hela heba helloa, cha cha cha<br>Hela heba helloa, wooo<br>Hela heba helloa, hela<br>Hela heba helloa, cha cha cha<br>Hela heba helloa, wooo<br>Hela heba helloa, cha cah cah"
Help!,1,"Help! I need somebody<br>Help! Not just anybody<br>Help! You know I need someone<br>Help!<br><br>(When) When I was younger (When I was young) so much younger than today<br>(I never need) I never needed anybody's help in any way<br>(Now) But now these days are gone (These days are gone) and I'm not so self assured<br>(And now I find) Now I find I've changed my mind, I've opened up the doors<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>(Now) And now my life has changed (My life has changed) in oh so many ways<br>(My independence) My independence seems to vanish in the haze<br>(But) But ev'ry now (Every now and then) and then I feel so insecure<br>(I know that I) I know that I just need you like I've never done before<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>When I was younger, so much younger than today<br>I never needed anybody's help in any way<br>(Now) But now these days are gone (These days are gone) and I'm not so self assured<br>(And now I find) Now I find I've changed my mind, I've opened up the doors<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>Help me, help me<br>Ooh"
Helter Skelter,4,"When I get to the bottom I go back to the top of the slide<br>Where I stop and I turn and I go for a ride<br>Till I get to the bottom and I see you again<br>Yeah yeah yeah hey<br><br>Do you, don't you want me to love you<br>I'm coming down fast but I'm miles above you<br>Tell me tell me tell me come on tell me the answer<br>Well you may be a lover but you ain't no dancer<br><br>Now helter skelter helter skelter<br>Helter skelter yeah<br>Ooh!<br><br>Will you, won't you want me to make you<br>I'm coming down fast but don't let me break you<br>Tell me tell me tell me the answer<br>You may be a lover but you ain't no dancer<br><br>Look out helter skelter helter skelter<br>Helter skelter ooh<br><br>Look out, cos here she comes<br><br>When I get to the bottom I go back to the top of the slide<br>And I stop and I turn and I go for a ride<br>And I get to the bottom and I see you again<br>Yeah yeah yeah<br><br>Well do you, don't you want me to make you<br>I'm coming down fast but don't let me break you<br>Tell me tell me tell me the answer<br>You may be a lover but you ain't no dancer<br><br>Look out helter skelter helter skelter<br>Helter skelter<br><br>Look out helter skelter<br>She's coming down fast<br>Yes she is<br>Yes she is coming down fast<br><br>(My head is spinning, ooh...)<br><br>(Ha ha ha, ha ha ha, alright!)<br><br>(I got blisters on my fingers!)"
Her Majesty,4,"Her Majesty's a pretty nice girl<br>But she doesn't have a lot to say<br>Her Majesty's a pretty nice girl<br>But she changes from day to day<br><br>I wanna tell her that I love her a lot<br>But I gotta get a belly full of wine<br>Her Majesty's a pretty nice girl<br>Someday I'm gonna make her mine, oh yeah<br>Someday I'm gonna make her mine"
Here Comes The Sun,2,"Here comes the sun, doo-doo-doo-doo, here comes the sun<br>And I say it's all right<br><br>Little darling, it's been a long cold lonely winter<br>Little darling, it feels like years since it's been here<br><br>Here comes the sun, doo-doo-doo-doo, here comes the sun<br>And I say it's all right<br><br>Little darling, the smiles returning to the faces<br>Little darling, it seems like years since it's been here<br><br>Here comes the sun, doo-doo-doo-doo, here comes the sun<br>And I say it's all right<br><br>Sun, sun, sun, here it comes<br>Sun, sun, sun, here it comes<br>Sun, sun, sun, here it comes<br>Sun, sun, sun, here it comes<br>Sun, sun, sun, here it comes<br><br>Little darling, I feel that ice is slowly melting<br>Little darling, it seems like years since it's been clear<br><br>Here comes the sun, doo-doo-doo-doo, here comes the sun<br>And I say it's all right<br><br>Here comes the sun, doo-doo-doo-doo, here comes the sun<br>It's all right<br>It's all right"
"Here, There And Everywhere",3,"To lead a better life I need my love to be here...<br><br>Here, making each day of the year<br>Changing my life with the wave of her hand<br>Nobody can deny that there's something there<br><br>There, running my hands through her hair<br>Both of us thinking how good it can be<br>Someone is speaking but she doesn't know he's there<br><br>I want her everywhere and if she's beside me<br>I know I need never care<br>But to love her is to need her everywhere<br>Knowing that love is to share<br><br>Each one believing that love never dies<br>Watching her eyes and hoping I'm always there<br><br>I want her everywhere and if she's beside me<br>I know I need never care<br>But to love her is to need her everywhere<br>Knowing that love is to share<br><br>Each one believing that love never dies<br>Watching her eyes and hoping I'm always there<br><br>I will be there and everywhere<br>Here, there and everywhere"
Hey Bulldog,3,"Sheepdog<br>Standing in the rain<br>Bullfrog<br>Doing it again<br>Some kind of happiness is measured out in miles<br>What makes you think you're something special when you smile?<br><br>Child-like<br>No one understands<br>Jack knife<br>In your sweaty hands<br>Some kind of innocence is measured out in years<br>You don't know what it's like to listen to your fears<br><br>You can talk to me<br>You can talk to me<br>You can talk to me, if you're lonely you can talk to me<br><br>Yeah hey, oh!<br>Ho, ho!<br>Yeah!<br>Ho, ho, ho, ho!<br>Ho, ho!<br><br>Big man (Yeah)<br>Walking in the park<br>Wigwam<br>Frightened of the dark<br>Some kind of solitude is measured out in you<br>You think you know me but you haven't got a clue<br><br>You can talk to me<br>You can talk to me<br>You can talk to me, if you're lonely you can talk to me<br>Hey!<br><br>Wahoo woof! Woof!<br><br>Hey bulldog! Hey bulldog!<br>Hey bulldog! Hey bulldog!<br><br>[Hey man, what's that noise?<br><br>Woof!<br><br>What d'you say?<br><br>I said woof!<br><br>D'you know anymore?<br><br>Wooaah ha ha ha!<br><br>You've got it, that's great! That's right! That's it, man, hoo!<br><br>Give it to me, man, hurry! I've got ten children, ho!<br><br>Ah ho! Ha ha ha ha ha ha!<br><br>Quiet boy, quiet!<br><br>OK.]<br><br>Hey bulldog!<br>Hey bulldog!"
Hey Jude,1,"Hey, Jude, don't make it bad<br>Take a sad song and make it better<br>Remember to let her into your heart<br>Then you can start to make it better<br><br>Hey, Jude, don't be afraid<br>You were made to go out and get her<br>The minute you let her under your skin<br>Then you begin to make it better<br><br>And anytime you feel the pain,<br>Hey, Jude, refrain<br>Don't carry the world upon your shoulders<br>For well you know that it's a fool<br>Who plays it cool<br>By making his world a little colder<br><br>Nah, nah nah, nah nah, nah nah, nah nah<br><br>Hey, Jude, don't let me down<br>You have found her, now go and get her<br>Remember to let her into your heart<br>Then you can start to make it better<br><br>So let it out and let it in,<br>Hey, Jude, begin<br>You're waiting for someone to perform with<br>And don't you know that it's just you,<br>Hey, Jude, you'll do<br>The movement you need is on your shoulder<br><br>Nah, nah nah, nah nah, nah nah, nah nah yeah<br><br>Hey, Jude, don't make it bad<br>Take a sad song and make it better<br>Remember to let her under your skin<br>Then you'll begin to make it better, better, better, better, better... oh!<br><br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (Jude)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (yeah, yeah, yeah)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (don't make it bad, Jude)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (take a sad song and make it better)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (oh, Jude)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (Jude, hey, Jude, whoa)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude (ooh)<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude<br>Nah, nah nah, nah nah, nah, nah, nah nah,<br>Hey, Jude"
Hold Me Tight,4,"It feels so right now, hold me tight<br>Tell me I'm the only one<br>And then I might<br>Never be the lonely one<br>So hold me tight, tonight, tonight,<br>It's you, you you you oooo oooo<br><br>Hold me tight<br>Let me go on loving you<br>Tonight tonight<br>Making love to only you<br>So hold me tight, tonight, tonight<br>It's you, you you you oooo oooo<br><br>Don't know what it means to hold you tight<br>Being here alone tonight with you<br>It feels so right now, feels so right now<br><br>Hold me tight<br>Tell me I'm the only one<br>And then I might<br>Never be the lonely one<br>So hold me tight, tonight, tonight<br>It's you, you you you oooo oooo<br><br>Don't know what it means to hold you tight<br>Being here alone tonight with you<br>It feels so right now, feels so right now<br><br>Hold me tight<br>Let me go on loving you<br>Tonight, tonight<br>Making love to only you<br>So hold me tight, tonight, tonight<br>It's you, you you you oooo oooo<br>You oooo"
Honey Don't,4,"Well how come you say you will when you won't<br>Say you do, baby, when you don't?<br>Let me know honey how you feel<br>Tell the truth now, is love real?<br>But ah ah well honey don't, well honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>Well I love you, baby, and you ought to know<br>I like the way you wear your clothes<br>Everything about you is so doggone sweet<br>You got that sand all over your feet<br>But ah ah well honey don't, honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>[Ah, rock on George, one time for me.<br><br>I feel fine.<br>I said.]<br><br>Well sometimes I love you on a Saturday night<br>Sunday morning you don't look right<br>You've been out painting the town<br>Ah ah baby, been stepping around<br>But ah ah well honey don't, I said honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>[Ah, rock on George, for Ringo one time.]<br>Well honey don't, well honey don't<br>I say you will when you won't, ah ah, honey, don't"
Honey Pie,4,"She was a working girl<br>North of England way<br>Now she's hit the big time<br>In the USA<br>And if she could only hear me<br>This is what I'd say<br><br>Honey pie you are making me crazy<br>I'm in love but I'm lazy<br>So won't you please come home<br><br>Oh honey pie my position is tragic<br>Come and show me the magic<br>Of your Hollywood song<br><br>You became a legend of the silver screen<br>And now the thought of meeting you<br>Makes me weak in the knee<br><br>Oh honey pie you are driving me frantic<br>Sail across the Atlantic<br>To be where you belong<br><br>Honey pie come back to me, oh<br><br>Yeah<br>I like it like that, oh ah<br>I like this kind of hot kind of music<br>Hot kind of music<br>Play it to me, play it to me, honey, the blues<br><br>Will the wind that blew her boat<br>Across the sea<br>Kindly send her sailing back to me<br><br>Honey pie you are making me crazy<br>I'm in love but I'm lazy<br>So won't you please come home<br>Come, come back to me, honey pie<br><br>Oooooooooooh oh<br>Oh oh oh oh oh oh oh<br>Honey pie, honey pie"
I Am The Walrus,2,"I am he<br>As you are he<br>As you are me<br>And we are all together<br><br>See how they run<br>Like pigs from a gun<br>See how they fly<br>I'm crying<br><br>Sitting on a cornflake<br>Waiting for the van to come<br>Corporation tee shirt<br>Stupid bloody Tuesday<br>Man, you been a naughty boy<br>You let your face grow long<br><br>I am the eggman (Ooh)<br>They are the eggmen, (Ooh)<br>I am the walrus<br>Goo goo g' joob<br><br>Mister city p'liceman sitting pretty<br>Little p'licemen in a row<br>See how they fly<br>Like Lucy in the sky<br>See how they run<br>I'm crying<br>I'm crying, I'm crying, I'm crying<br><br>Yellow matter custard<br>Dripping from a dead dog's eye<br>Crabalocker fishwife pornographic priestess<br>Boy you been a naughty girl<br>You let your knickers down<br><br>I am the eggman (Ooh)<br>They are the eggmen (Ooh)<br>I am the walrus<br>Goo goo g' joob<br><br>Sitting in an English<br>Garden waiting for the sun<br>If the sun don't come<br>You get a tan from standing in the English rain<br><br>I am the eggman<br>They are the eggmen<br>I am the walrus<br>Goo goo g' joob g' goo goo g' joob<br><br>Expert texpert choking smokers<br>Don't you think the joker laughs at you?<br>See how they smile<br>Like pigs in a sty, see how they snied<br>I'm crying<br><br>Semolina pilchards<br>Climbing up the Eiffel Tower<br>Element'ry penguin singing Hare Krishna<br>Man, you should have seen them kicking Edgar Allan Poe<br><br>I am the eggman (Ooh)<br>They are the eggmen (Ooh)<br>I am the walrus<br>Goo goo g' joob<br>Goo goo g' joob<br>G' goo goo g' joob<br>Goo goo g' joob, goo goo g' goo g' goo goo g' joob joob<br>Joob joob..."
I Call Your Name,4,I call your name but you're not there<br>Was I to blame for being unfair<br>Oh I can't sleep at night<br>Since you've been gone<br>I never weep at night<br>I can't go on<br><br>Don't you know I can't take it<br>I don't know who can<br>I'm not goin' to mayayake it<br>I'm not that kind of man<br><br>Oh I can't sleep at night<br>But just the same<br>I never weep at night<br>I call your name<br>Aww<br><br>Don't you know I can't take it<br>I don't know who can<br>I'm not goin' to mayayake it<br>I'm not that kind of man<br><br>Oh I can't sleep at night<br>But just the same<br>I never weep at night<br>I call your name<br>I call your name<br>I call your name<br>I call your name
I Don't Want To Spoil The Party,4,I don't want to spoil the party so I'll go<br>I would hate my disappointment to show<br>There's nothing for me here so I will disappear<br>If she turns up while I'm gone please let me know<br><br>I've had a drink or two and I don't care<br>There's no fun in what I do if she's not there<br>I wonder what went wrong I've waited far too long<br>I think I'll take a walk and look for her<br><br>Though tonight she's made me sad<br>I still love her<br>If I find her I'll be glad<br>I still love her<br><br>I don't want to spoil the party so I'll go<br>I would hate my disappointment to show<br>There's nothing for me here so I will disappear<br>If she turns up while I'm gone please let me know<br><br>Though tonight she's made me sad<br>I still love her<br>If I find her I'll be glad<br>I still love her<br><br>Though I've had a drink or two and I don't care<br>There's no fun in what I do if she's not there<br>I wonder what went wrong I've waited far too long<br>I think I'll take a walk and look for her
I Feel Fine,1,"Baby's good to me, you know<br>She's happy as can be, you know<br>She said so<br>I'm in love with her and I feel fine<br><br>Baby says she's mine, you know<br>She tells me all the time, you know<br>She said so<br>I'm in love with her and I feel fine<br><br>I'm so glad that she's my little girl<br>She's so glad, she's telling all the world<br><br>That her baby buys her things, you know<br>He buys her diamond rings, you know<br>She said so<br>She's in love with me and I feel fine, mmm<br><br>Baby says she's mine, you know<br>She tells me all the time, you know<br>She said so<br>I'm in love with her and I feel fine<br><br>I'm so glad that she's my little girl<br>She's so glad, she's telling all the world<br><br>That her baby buys her things, you know<br>He buys her diamond rings, you know<br>She said so<br>She's in love with me and I feel fine<br>She's in love with me and I feel fine, mmm, mmm"
I Me Mine,3,"All through the day, I me mine<br>I me mine, I me mine<br>All through the night, I me mine<br>I me mine, I me mine<br>Now they're frightened of leaving it<br>Everyone's weaving it<br>Coming on strong all the time<br>All through the day I me mine<br><br>I-I-me-me-mine, I-I-me-me-mine<br>I-I-me-me-mine, I-I-me-me-mine<br><br>All I can hear, I me mine<br>I me mine, I me mine<br>Even those tears, I me mine<br>I me mine, I me mine<br>No-one's frightened of playing it<br>Everyone's saying it<br>Flowing more freely than wine<br>All through the day I me mine<br><br>I-I-me-me mine, I-I-me-me mine<br>I-I-me-me mine, I-I-me-me mine<br><br>All I can hear, I me mine<br>I me mine, I me mine<br>Even those tears, I me mine<br>I me mine, I me mine<br>No-one's frightened of playing it<br>Everyone's saying it<br>Flowing more freely than wine<br>All through your life I me mine"
I Need You,4,"You don't realize how much I need you<br>Love you all the time and never leave you<br>Please come on back to me<br>I'm lonely as can be<br>I need you<br><br>Said you had a thing or two to tell me<br>How was I to know you would upset me?<br>I didn't realize as I looked in your eyes<br>You told me, oh yes, you told me, you don't want my lovin' anymore<br>That's when it hurt me and feeling like this I just can't go on anymore<br><br>Please remember how I feel about you<br>I could never really live without you<br>So, come on back and see just what you mean to me. I need you<br><br>But when you told me, you don't want my lovin' anymore<br>That's when it hurt me and feeling like this I just can't go on anymore<br><br>Please remember how I feel about you<br>I could never really live without you<br>So, come on back and see just what you mean to me<br>I need you<br>I need you<br>I need you"
I Saw Her Standing There,3,"(1,2,3,4!)<br><br>Well, she was just seventeen<br>You know what I mean<br>And the way she looked was way beyond compare<br>So how could I dance with another (Ooh)<br>When I saw her standing there<br><br>Well she looked at me, and I, I could see<br>That before too long I'd fall in love with her<br>She wouldn't dance with another (Whooh)<br>When I saw her standing there<br><br>Well, my heart went boom<br>When I crossed that room<br>And I held her hand in mine<br><br>Whoah, we danced through the night<br>And we held each other tight<br>And before too long I fell in love with her<br>Now I'll never dance with another (Whooh)<br>When I saw her standing there<br><br>Well, my heart went boom<br>When I crossed that room<br>And I held her hand in mine<br><br>Whoah, we danced through the night<br>And we held each other tight<br>And before too long I fell in love with her<br>Now I'll never dance with another (Whooh)<br>Since I saw her standing there<br>Oh since I saw her standing there<br>Oh since I saw her standing there"
I Should Have Known Better,4,"I should have known better with a girl like you<br>That I would love everything that you do<br>And I do, hey, hey, hey, and I do<br><br>Whoa, oh, I never realized what a kiss could be<br>This could only happen to me<br>Can't you see, can't you see<br><br>That when I tell you that I love you, oh<br>You're gonna say you love me too, oh<br>And when I ask you to be mine<br>You're gonna say you love me too<br><br>So I should have realized a lot of things before<br>If this is love you've got to give me more<br>Give me more, hey hey hey, give me more<br><br>Whoa, oh, I never realized what a kiss could be<br>This could only happen to me<br>Can't you see, can't you see<br><br>That when I tell you that I love you, oh<br>You're gonna say you love me too, oh<br>And when I ask you to be mine<br>You're gonna say you love me too<br>You love me too, you love me too<br>You love me too"
I Wanna Be Your Man,4,"I wanna be your lover baby<br>I wanna be your man<br>I wanna be your lover baby<br>I wanna be your man<br>Love you like no other baby<br>Like no other can<br>Love you like no other baby<br>Like no other can<br><br>I wanna be your man, I wanna be your man<br>I wanna be your man, I wanna be your man<br><br>Tell me that you love me baby<br>Let me understand<br>Tell me that you love me baby<br>I wanna be your man<br>I wanna be your lover baby<br>I wanna be your man<br>I wanna be your lover baby<br>I wanna be your man<br><br>I wanna be your man, I wanna be your man<br>I wanna be your man, I wanna be your man<br><br>I wanna be your lover baby<br>I wanna be your man<br>I wanna be your lover baby<br>I wanna be your man<br>Love you like no other baby<br>Like no other can<br>Love you like no other baby<br>Like no other can<br><br>I wanna be your man, I wanna be your man<br>I wanna be your man, I wanna be your man<br>I wanna be your man, I wanna be your man"
I Want To Hold Your Hand,1,"Oh yeah, I'll tell you something<br>I think you'll understand<br>When I say that something<br>I wanna hold your hand<br>I wanna hold your hand<br>I wanna hold your hand<br><br>Oh please, say to me<br>You'll let me be your man<br>And please, say to me<br>You'll let me hold your hand<br>You'll let me hold your hand<br>I wanna hold your hand<br><br>And when I touch you I feel happy<br>Inside<br>It's such a feeling that my love<br>I can't hide<br>I can't hide<br>I can't hide<br><br>Yeah, you got that something<br>I think you'll understand<br>When I say that something<br>I wanna hold your hand<br>I wanna hold your hand<br>I wanna hold your hand<br><br>And when I touch you I feel happy<br>Inside<br>It's such a feeling that my love<br>I can't hide<br>I can't hide<br>I can't hide<br><br>Yeah, you got that something<br>I think you'll understand<br>When I feel that something<br>I wanna hold your hand<br>I wanna hold your hand<br>I wanna hold your hand<br>I wanna hold your hand"
I Want To Tell You,4,"I want to tell you<br>My head is filled with things to say<br>When you're here<br>All those words, they seem to slip away<br><br>When I get near you<br>The games begin to drag me down<br>It's alright<br>I'll make you maybe next time around<br><br>But if I seem to act unkind<br>It's only me, it's not my mind<br>That is confusing things<br><br>I want to tell you<br>I feel hung up but I don't know why<br>I don't mind<br>I could wait forever, I've got time<br><br>Sometimes I wish I knew you well,<br>Then I could speak my mind and tell you<br>Maybe you'd understand<br><br>I want to tell you<br>I feel hung up but I don't know why<br>I don't mind<br>I could wait forever, I've got time, I've got time, I've got time"
I Want You (She's So Heavy),3,"I want you<br>I want you so bad<br>I want you<br>I want you so bad<br>It's driving me mad<br>It's driving me mad<br><br>I want you<br>I want you so bad, babe<br>I want you<br>I want you so bad<br>It's driving me mad<br>It's driving me mad<br><br>I want you<br>I want you so bad, babe<br>I want you<br>I want you so bad<br>It's driving me mad<br>It's driving me mad<br><br>I want you<br>I want you so bad<br>I want you<br>I want you so bad<br>It's driving me mad<br>It's driving me mad<br><br>She's so heavy<br>Heavy, heavy, heavy<br><br>She's so heavy<br>She's so heavy<br>Heavy, heavy, heavy<br><br>I want you<br>I want you so bad<br>I want you<br>I want you so bad<br>It's driving me mad<br>It's driving me mad<br><br>I want you<br>You know I want you so bad, babe<br>I want you<br>You know I want you so bad<br>It's driving me mad<br>It's driving me mad<br>Yeah<br><br>She's so"
I Will,4,"Who knows how long I've loved you<br>You know I love you still<br>Will I wait a lonely lifetime<br>If you want me to, I will<br><br>For if I ever saw you<br>I didn't catch your name<br>But it never really mattered<br>I will always feel the same<br><br>Love you forever and forever<br>Love you with all my heart<br>Love you whenever we're together<br>Love you when we're apart<br><br>And when at last I find you<br>Your song will fill the air<br>Sing it loud so I can hear you<br>Make it easy to be near you<br>For the things you do endear you to me<br>Oh, you know I will<br>I will<br><br>Mm mm mm mm mm mm mm mm mm<br>Da da da da da da da"
I'll Be Back,4,"You know if you break my heart I'll go<br>But I'll be back again<br>Cos I told you once before goodbye<br>But I came back again<br><br>I love you so<br>I'm the one who wants you<br>Yes, I'm the one<br>Who wants you, oh ho, oh ho, oh<br><br>You could find better things to do<br>Than to break my heart again<br>This time I will try to show that I'm<br>Not trying to pretend<br><br>I thought that you would realize<br>That if I ran away from you<br>That you would want me too<br>But I got a big surprise<br>Oh ho, oh ho, oh<br><br>You could find better things to do<br>Than to break my heart again<br>This time I will try to show that I'm<br>Not trying to pretend<br><br>I wanna go but I hate to leave you,<br>You know I hate to leave you , oh ho, oh ho, oh<br>You, if you break my heart I'll go<br>But I'll be back again"
